configuration,dataset,metric,n_seeds,mean,std,n_pairs,mean_full_minus_ablated,paired_std,full_win_rate,ties,paired_ci95_low,paired_ci95_high,paired_differences
w/o LTCP,COLLAB,Macro-F1,3,70.39800447606318,0.6373659036769151,3,-0.20808166405159056,1.1089395395631532,0.3333333333333333,0,-2.962840194331467,2.5466768662282857,"[0.9209631204451938, -0.24944986453908768, -1.2957582480608778]"
w/o LTCP,MUTAG,ACC,3,83.84068278805121,0.8101866780027368,3,1.948790896159328,0.615949789320361,1.0,0,0.4186867959639484,3.4788949963547076,"[2.6600284495021356, 1.5931721194879174, 1.5931721194879316]"
w/o LTCP,MUTAG,NMI,3,38.17519344059358,2.4467456090335062,3,5.24992569483085,2.350983775637461,1.0,0,-0.5902417619433447,11.090093151605044,"[7.8755866214117916, 4.534216021063031, 3.339974442017727]"
w/o LTCP,MUTAG,ARI,3,44.95247591243295,2.585209523736268,3,5.655081794268511,2.276081367384185,1.0,0,0.000982234537199922,11.309181353999822,"[8.283270845394796, 4.34461005884576, 4.337364478564979]"
w/o LTCP,MUTAG,Macro-F1,3,82.03827633401944,0.8260605009120916,3,2.2186885512326264,0.7624585954578731,1.0,0,0.32463640060753485,4.112740701857718,"[3.095649755753385, 1.8476423178928343, 1.7127735800516604]"
w/o LTCP,PTC_MR,ACC,3,57.061624649859944,2.7361599183943652,3,0.980392156862744,4.358099644010049,0.6666666666666666,0,-9.845727520388309,11.806511834113795,"[3.2184873949579824, 3.764705882352942, -4.0420168067226925]"
w/o LTCP,PTC_MR,NMI,3,1.7857559729375077,1.1369587064780098,3,0.38146481112793995,1.3468961942467803,0.6666666666666666,0,-2.9644108188134846,3.727340441069365,"[0.882737846466912, 1.405847260418554, -1.1441906735016463]"
w/o LTCP,PTC_MR,ARI,3,1.351772759381175,1.696138460008276,3,0.7335332364805399,1.970344380984009,0.6666666666666666,0,-4.161073545457198,5.628140018418277,"[1.6158707888381996, 2.1085052347049165, -1.5237763141014966]"
w/o LTCP,PTC_MR,Macro-F1,3,56.19385716004285,2.9456164745874767,3,0.6178729522038537,4.6229863708599455,0.6666666666666666,0,-10.866261832557134,12.102007736964842,"[2.887575363919929, 3.667318725151752, -4.7012752324601195]"
Backbone,NCI1,ACC,3,74.93076687262824,0.4053545661691148,3,-0.1376088603069879,0.40113351144426634,0.3333333333333333,0,-1.1340797435325225,0.8588620229185466,"[-0.5830836832658264, -0.024745151713887026, 0.1950022540587497]"
