configuration,dataset,seed,metric,full,ablated,full_minus_ablated,full_win,tie
w/o RDTG,PTC_MR,2,NMI,1.9518890544880036,1.2271989947519144,0.7246900597360892,1,0
w/o RDTG,PTC_MR,0,ARI,1.7948295111347128,3.059282414469654,-1.2644529033349414,0,0
w/o RDTG,PTC_MR,1,ARI,2.6882792921854723,1.4828031297666062,1.2054761624188661,1,0
w/o RDTG,PTC_MR,2,ARI,1.772809184264959,0.6157261610053351,1.1570830232596239,1,0
w/o RDTG,PTC_MR,0,Macro-F1,56.711828123889156,58.220204879156746,-1.5083767552675909,0,0
w/o RDTG,PTC_MR,1,Macro-F1,58.9328316975609,56.48252067628723,2.45031102127367,1,0
w/o RDTG,PTC_MR,2,Macro-F1,54.79053051529006,54.71048983072527,0.08004068456478564,1,0
w/o LTCP,NCI1,0,ACC,73.89329855090162,75.18271916141676,-1.289420610515137,0,0
w/o LTCP,NCI1,1,ACC,75.03593467664817,74.987834513869,0.04810016277916418,1,0
w/o LTCP,NCI1,2,ACC,75.45024080941394,75.66904152958496,-0.21880072017101782,0,0
w/o LTCP,NCI1,0,NMI,17.381924645891946,19.32235687622689,-1.9404322303349453,0,0
w/o LTCP,NCI1,1,NMI,19.08850157205767,19.0510069864359,0.03749458562176855,1,0
w/o LTCP,NCI1,2,NMI,19.773036957056473,20.171160907713123,-0.3981239506566503,0,0
w/o LTCP,NCI1,0,ARI,22.81928600963682,25.33891548357708,-2.5196294739402596,0,0
w/o LTCP,NCI1,1,ARI,25.051866750673458,24.958490670654744,0.09337608001871445,1,0
w/o LTCP,NCI1,2,ARI,25.838142640121582,26.29206049487859,-0.45391785475700885,0,0
w/o LTCP,NCI1,0,Macro-F1,73.8624155416315,75.16607604652548,-1.3036605048939691,0,0
w/o LTCP,NCI1,1,Macro-F1,75.02059620304271,74.96514672247012,0.055449480572590915,1,0
w/o LTCP,NCI1,2,Macro-F1,75.42184619704912,75.6371791073312,-0.21533291028208623,0,0
w/o LTCP,Mutagenicity,0,ACC,77.07970157534346,76.89510407831987,0.18459749702358863,1,0
w/o LTCP,Mutagenicity,1,ACC,76.38824405413693,76.61929619881528,-0.231052144678344,0,0
w/o LTCP,Mutagenicity,2,ACC,77.14906500067028,76.82643083632965,0.3226341643406272,1,0
w/o LTCP,Mutagenicity,0,NMI,21.97868997460652,21.789999851677408,0.18869012292911336,1,0
w/o LTCP,Mutagenicity,1,NMI,20.818602854813037,21.140209180866,-0.32160632605296513,0,0
w/o LTCP,Mutagenicity,2,NMI,22.100382686128228,21.52443431981181,0.5759483663164175,1,0
w/o LTCP,Mutagenicity,0,ARI,29.33314448211713,28.977470312677156,0.35567416943997543,1,0
w/o LTCP,Mutagenicity,1,ARI,27.84804973705793,28.26259378019578,-0.4145440431378482,0,0
w/o LTCP,Mutagenicity,2,ARI,29.453208564778187,28.73057371086501,0.7226348539131777,1,0
w/o LTCP,Mutagenicity,0,Macro-F1,76.71126390234483,76.54529958678931,0.16596431555551305,1,0
w/o LTCP,Mutagenicity,1,Macro-F1,76.03865651241942,76.27405163209212,-0.23539511967270244,0,0
w/o LTCP,Mutagenicity,2,Macro-F1,76.79633538209544,76.46321096263664,0.3331244194587981,1,0
w/o LTCP,COLLAB,0,ACC,73.2,72.73999999999998,0.46000000000002217,1,0
w/o LTCP,COLLAB,1,ACC,73.19999999999999,72.92,0.2799999999999869,1,0
w/o LTCP,COLLAB,2,ACC,72.08,73.7,-1.6200000000000045,0,0
w/o LTCP,COLLAB,0,NMI,28.268969437710883,28.77317007503526,-0.5042006373243773,0,0
w/o LTCP,COLLAB,1,NMI,27.986596806663975,28.230274240663913,-0.24367743399993813,0,0
w/o LTCP,COLLAB,2,NMI,27.503735517774334,29.705593038053728,-2.2018575202793933,0,0
w/o LTCP,COLLAB,0,ARI,33.43817721904923,32.726843539878665,0.7113336791705649,1,0
