configuration,dataset,seed,status,use_acvg,use_rdtg,use_ltcp,ACC,NMI,ARI,Macro-F1,split_sha256,failed_attempts,duration_seconds,result_path
w/o ACVG,COLLAB,0,completed,0,1,1,72.7,27.739456277978206,32.38654235942371,70.10488452777197,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1661.5254652469885,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__COLLAB__seed0.json
w/o ACVG,COLLAB,1,completed,0,1,1,73.88000000000001,30.073810129341048,34.78996348924761,71.42275762615354,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1046.3831427879632,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__COLLAB__seed1.json
w/o ACVG,COLLAB,2,completed,0,1,1,73.96,29.454279911992046,35.01478653441164,70.96967519521681,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1680.686970395036,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__COLLAB__seed2.json
w/o ACVG,COLLAB,3,completed,0,1,1,72.62,27.23667125124458,32.36497781239807,69.73643633630091,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1045.8984740430024,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__COLLAB__seed3.json
w/o ACVG,COLLAB,4,pending,0,1,1,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__COLLAB__seed4.json
w/o ACVG,MUTAG,0,completed,0,1,1,85.07823613086772,39.19160500495015,48.18606639867058,83.50048660623892,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,9.421390949981287,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__MUTAG__seed0.json
w/o ACVG,MUTAG,1,completed,0,1,1,85.6045519203414,42.49472692211093,50.27266543191129,83.9852301540077,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,9.580254931002855,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__MUTAG__seed1.json
w/o ACVG,MUTAG,2,completed,0,1,1,85.07823613086771,43.43311956494949,48.41852836485945,83.39011230704779,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,8.922550279879943,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__MUTAG__seed2.json
w/o ACVG,MUTAG,3,pending,0,1,1,,,,,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__MUTAG__seed3.json
w/o ACVG,MUTAG,4,pending,0,1,1,,,,,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__MUTAG__seed4.json
w/o ACVG,PTC_MR,0,completed,0,1,1,59.90756302521008,2.9155747397864165,3.0262844215348745,59.21500293672316,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,11.985242770053446,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__PTC_MR__seed0.json
w/o ACVG,PTC_MR,1,completed,0,1,1,58.201680672268914,2.6614274603183197,2.5187348872157083,57.5364012416767,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,10.842187708010897,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__PTC_MR__seed1.json
w/o ACVG,PTC_MR,2,completed,0,1,1,55.798319327731086,1.098622053693169,0.4355519803485941,54.9392777886052,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,10.984760588034987,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__PTC_MR__seed2.json
w/o ACVG,PTC_MR,3,pending,0,1,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__PTC_MR__seed3.json
w/o ACVG,PTC_MR,4,pending,0,1,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__PTC_MR__seed4.json
w/o RDTG,NCI1,0,completed,1,0,1,74.62260479315381,18.62482886121458,24.253727674069772,74.57697625874687,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,148.70890725008212,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__NCI1__seed0.json
w/o RDTG,NCI1,1,completed,1,0,1,74.74502910208403,18.714825054949507,24.47462505988906,74.712286324465,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,127.92852597916499,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__NCI1__seed1.json
w/o RDTG,NCI1,2,completed,1,0,1,74.84232328342486,18.880663846679766,24.69390438998514,74.80913084704076,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,101.4967698911205,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__NCI1__seed2.json
w/o RDTG,NCI1,3,pending,1,0,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__NCI1__seed3.json
w/o RDTG,NCI1,4,pending,1,0,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__NCI1__seed4.json
w/o RDTG,Mutagenicity,0,completed,1,0,1,77.540425498027,22.88547151231974,30.401821375481433,77.19417649989654,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,113.30038728611544,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__Mutagenicity__seed0.json
w/o RDTG,Mutagenicity,1,completed,1,0,1,77.01076287822379,21.881457244192994,29.148676177081757,76.67064223651917,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,145.7057495880872,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__Mutagenicity__seed1.json
w/o RDTG,Mutagenicity,2,completed,1,0,1,78.2784438489401,24.24023103226246,32.01896974932854,77.95266728128968,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,146.46289011999033,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__Mutagenicity__seed2.json
w/o RDTG,Mutagenicity,3,pending,1,0,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__Mutagenicity__seed3.json
w/o RDTG,Mutagenicity,4,pending,1,0,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__Mutagenicity__seed4.json
w/o RDTG,COLLAB,0,completed,1,0,1,74.12,30.08524206731129,34.90857547732443,71.58285224121633,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1688.9464344598819,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__COLLAB__seed0.json
w/o RDTG,COLLAB,1,completed,1,0,1,73.02000000000001,28.652739971202482,33.119376778009176,70.31788045367273,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1055.7137590439525,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__COLLAB__seed1.json
